1118:	535 3264 
1119:	1998 2700 
1120:	535 1070 
1121:	3697 
1122:	888 3697 
1123:	1653 
1124:	612 3120 
1125:	1653 3120 
1126:	2066 
1127:	1653 2066 
1128:	3576 3697 
1129:	2066 3576 
1130:	54 1140 
1131:	1140 3576 
1132:	1140 3120 
1133:	4 
1134:	2766 3323 
1135:	4 3323 
1136:	886 
1137:	3329 3731 
1138:	886 3731 
1139:	1954 
1140:	876 1954 
1141:	876 886 
1142:	4 1954 
1143:	1798 2881 
1144:	2881 3731 
1145:	1025 3323 
1146:	1025 2881 
1147:	876 1025 
1148:	3668 
1149:	770 3004 
1150:	3004 3668 
1151:	904 
1152:	431 3585 
1153:	431 904 
1154:	548 
1155:	548 904 
1156:	1495 3668 
1157:	548 1495 
1158:	532 558 
1159:	532 3004 
1160:	532 1468 
1161:	431 1468 
1162:	1468 1495 
1163:	3529 
1164:	891 3529 
1165:	3531 
1166:	3531 3697 
1167:	3529 3531 
1168:	3327 
1169:	1435 3529 
1170:	1435 3327 
1171:	4 3327 
1172:	974 1252 
1173:	1252 1435 
1174:	1252 3323 
1175:	2701 
1176:	1345 3119 
1177:	2701 3119 
1178:	2225 
1179:	539 2225 
1180:	539 1279 
1181:	2744 
1182:	2225 2744 
1183:	152 2744 
1184:	152 2701 
1185:	539 1419 
1186:	152 1419 
1187:	1419 3119 
1188:	1238 
1189:	618 1238 
1190:	3065 
1191:	702 1672 
1192:	1672 3065 
1193:	1619 
1194:	1619 2687 
1195:	1238 2687 
1196:	1619 3065 
1197:	1672 3546 
1198:	1577 3546 
1199:	2687 3546 
1200:	1017 
1201:	1017 1237 
1202:	339 
1203:	2656 3650 
1204:	339 2656 
1205:	1887 
1206:	1017 2628 
1207:	1887 2628 
1208:	339 1887 
1209:	216 1922 
1210:	216 2656 
1211:	216 2628 
1212:	2607 
1213:	295 2610 
1214:	2607 2610 
1215:	1742 
1216:	1298 3615 
1217:	1742 3615 
1218:	3616 
1219:	2607 3616 
1220:	1742 3616 
1221:	2610 3615 
1222:	845 
1223:	586 845 
1224:	291 
1225:	19 2044 
1226:	19 291 
1227:	2621 
1228:	291 2621 
1229:	845 2288 
1230:	2288 2621 
1231:	540 738 
1232:	540 2288 
1233:	19 540 
1234:	2554 
1235:	2554 2709 
1236:	638 
1237:	638 1559 
1238:	125 1559 
1239:	520 
1240:	520 638 
1241:	520 3630 
1242:	2554 3630 
1243:	516 3630 
1244:	516 1559 
1245:	516 1720 
1246:	501 
1247:	501 3528 
1248:	398 
1249:	398 501 
1250:	398 2554 
1251:	2303 
1252:	3611 3665 
1253:	2303 3611 
1254:	1074 
1255:	1074 2609 
1256:	1074 2303 
1257:	2700 3611 
1258:	2372 
1259:	1782 2372 
1260:	646 
1261:	397 559 
1262:	397 646 
1263:	1703 
1264:	646 1703 
1265:	1703 2555 
1266:	2372 2555 
1267:	397 1596 
1268:	1596 1780 
1269:	1596 2555 
1270:	1071 
1271:	895 1071 
1272:	769 
1273:	769 1324 
1274:	1654 
1275:	769 1654 
1276:	1071 1654 
1277:	352 
1278:	41 352 
1279:	1383 
1280:	352 1383 
1281:	845 1383 
1282:	1365 
1283:	855 1365 
1284:	1341 
1285:	2287 3729 
1286:	1341 3729 
1287:	1000 
1288:	1069 1341 
1289:	1000 1069 
1290:	245 1365 
1291:	245 1000 
1292:	371 3164 
1293:	245 3164 
1294:	1047 3729 
1295:	1047 3164 
1296:	1047 1069 
1297:	1379 
1298:	992 1379 
1299:	2334 
1300:	1347 2334 
1301:	760 1347 
1302:	2027 
1303:	2334 3674 
1304:	2027 3674 
1305:	1379 2027 
1306:	1009 3674 
1307:	1009 1347 
1308:	1009 3747 
1309:	2097 
1310:	1862 2097 
1311:	591 1862 
1312:	2095 
1313:	1722 3286 
1314:	1722 2095 
1315:	1611 
1316:	1611 2095 
1317:	2097 2461 
1318:	1611 2461 
1319:	1832 1862 
1320:	1832 2461 
1321:	1722 1832 
1322:	577 
1323:	784 2864 
1324:	577 2864 
1325:	1630 
1326:	577 1630 
1327:	1630 3668 
1328:	2864 3004 
1329:	2963 
1330:	1979 1999 
1331:	1979 2963 
1332:	1631 
1333:	1248 1631 
1334:	501 1248 
1335:	1631 2963 
1336:	1443 1979 
1337:	1443 2570 
1338:	1248 1443 
1339:	430 
1340:	579 3644 
1341:	430 579 
1342:	2035 
1343:	828 3645 
1344:	2035 3645 
1345:	3662 
1346:	2035 3662 
1347:	430 3662 
1348:	579 3645 
1349:	1600 
1350:	1593 2314 
1351:	1593 1600 
1352:	2665 
1353:	1280 2303 
1354:	1280 2665 
1355:	1600 2665 
1356:	406 3538 
1357:	406 778 
1358:	659 2947 
1359:	1584 2947 
1360:	1584 1593 
