1217:	200 579 
1218:	732 
1219:	159 200 
1220:	160 169 
1221:	159 160 
1222:	559 
1223:	119 193 
1224:	629 
1225:	97 629 
1226:	170 560 
1227:	629 
1228:	162 193 
1229:	142 629 
1230:	170 559 
1231:	119 629 
1232:	193 560 
1233:	162 559 
1234:	592 
1235:	95 194 
1236:	590 
1237:	187 593 
1238:	116 590 
1239:	590 
1240:	161 194 
1241:	187 592 
1242:	138 590 
1243:	194 593 
1244:	161 592 
1245:	95 590 
1246:	592 
1247:	118 188 
1248:	592 
1249:	147 194 
1250:	137 188 
1251:	602 
1252:	84 602 
1253:	191 600 
1254:	602 
1255:	126 191 
1256:	149 176 
1257:	126 149 
1258:	599 
1259:	107 212 
1260:	596 
1261:	125 596 
1262:	190 595 
1263:	596 
1264:	153 212 
1265:	190 599 
1266:	150 596 
1267:	153 599 
1268:	107 596 
1269:	212 595 
1270:	471 
1271:	92 189 
1272:	471 
1273:	115 171 
1274:	471 
1275:	166 189 
1276:	152 171 
1277:	559 
1278:	96 178 
1279:	559 
1280:	161 193 
1281:	136 178 
1282:	560 
1283:	120 182 
1284:	633 
1285:	98 633 
1286:	174 562 
1287:	719 
1288:	163 719 
1289:	182 633 
1290:	162 719 
1291:	174 560 
1292:	120 719 
1293:	182 562 
1294:	163 719 
1295:	560 633 
1296:	174 562 
1297:	633 
1298:	121 186 
1299:	547 
1300:	185 894 
1301:	99 547 
1302:	633 
1303:	164 633 
1304:	186 547 
1305:	163 185 
1306:	185 894 
1307:	164 633 
1308:	121 547 
1309:	547 
1310:	195 549 
1311:	122 547 
1312:	634 
1313:	100 634 
1314:	175 549 
1315:	634 
1316:	165 195 
1317:	164 634 
1318:	175 547 
1319:	164 634 
1320:	195 549 
1321:	165 547 
1322:	653 
1323:	123 653 
1324:	173 554 
1325:	653 
1326:	165 206 
1327:	129 173 
1328:	129 165 
1329:	553 
1330:	93 553 
1331:	207 551 
1332:	553 
1333:	207 592 
1334:	138 553 
1335:	154 188 
1336:	154 592 
1337:	118 553 
1338:	188 551 
1339:	538 
1340:	104 538 
1341:	205 537 
1342:	538 
1343:	94 538 
1344:	201 537 
1345:	538 
1346:	154 205 
1347:	150 201 
1348:	150 154 
1349:	646 
1350:	106 646 
1351:	204 501 
1352:	646 
1353:	139 646 
1354:	204 602 
1355:	166 191 
1356:	106 600 
1357:	84 589 
1358:	106 600 
1359:	589 646 
1360:	166 600 
1361:	497 501 
1362:	139 646 
1363:	501 602 
1364:	191 600 
1365:	538 
1366:	148 212 
1367:	205 599 
1368:	140 538 
1369:	148 599 
1370:	107 538 
1371:	212 537 
1372:	644 
1373:	103 644 
1374:	192 505 
1375:	644 
1376:	128 192 
1377:	167 179 
1378:	128 167 
1379:	577 
1380:	114 577 
1381:	199 523 
1382:	577 
1383:	141 577 
1384:	199 471 
1385:	160 189 
1386:	92 577 
1387:	189 523 
1388:	160 471 
1389:	596 
1390:	102 596 
1391:	203 595 
1392:	596 
1393:	140 203 
1394:	155 190 
1395:	140 155 
1396:	553 
1397:	148 553 
1398:	207 538 
1399:	147 201 
1400:	148 553 
1401:	94 553 
1402:	538 551 
1403:	201 537 
1404:	147 537 
1405:	664 
1406:	129 203 
1407:	153 664 
1408:	197 596 
1409:	102 596 
1410:	595 664 
1411:	129 596 
1412:	153 564 
1413:	203 564 
1414:	620 
1415:	134 180 
1416:	133 172 
1417:	685 
1418:	127 184 
1419:	132 177 
1420:	110 685 
1421:	127 618 
1422:	132 509 
1423:	616 
1424:	183 617 
1425:	132 616 
1426:	133 168 
1427:	133 618 
1428:	88 616 
1429:	168 618 
1430:	613 617 
1431:	132 616 
1432:	622 
1433:	181 732 
1434:	135 622 
1435:	134 169 
1436:	113 622 
1437:	580 732 
1438:	135 622 
1439:	134 579 
1440:	169 579 
1441:	577 
1442:	152 200 
1443:	199 732 
1444:	135 577 
1445:	152 579 
1446:	91 577 
1447:	523 732 
1448:	200 579 
1449:	135 577 
1450:	590 
1451:	142 590 
1452:	187 559 
1453:	137 178 
1454:	178 593 
1455:	96 590 
1456:	137 559 
1457:	629 
1458:	136 182 
1459:	143 629 
1460:	170 560 
1461:	136 182 
1462:	633 
1463:	143 186 
1464:	144 174 
1465:	121 143 
1466:	547 
1467:	144 195 
1468:	145 185 
1469:	145 894 
1470:	144 549 
1471:	122 547 
1472:	634 
1473:	175 653 
1474:	146 634 
1475:	145 173 
1476:	100 634 
1477:	145 554 
1478:	549 653 
1479:	146 634 
1480:	173 554 
1481:	646 
1482:	141 646 
1483:	204 471 
1484:	149 171 
1485:	115 646 
1486:	171 501 
1487:	149 471 
1488:	603 
1489:	202 644 
1490:	151 603 
1491:	126 192 
1492:	103 644 
1493:	151 573 
1494:	126 644 
1495:	505 603 
1496:	192 573 
1497:	680 
1498:	158 680 
1499:	216 616 
1500:	617 
1501:	132 233 
1502:	680 
1503:	183 233 
1504:	184 680 
1505:	216 617 
1506:	158 680 
1507:	183 617 
1508:	233 616 
1509:	623 
1510:	159 623 
1511:	250 622 
1512:	578 
1513:	232 732 
1514:	135 578 
1515:	623 
1516:	200 623 
1517:	250 578 
1518:	181 232 
1519:	232 732 
1520:	200 623 
1521:	181 732 
1522:	159 623 
1523:	578 622 
1524:	629 
1525:	162 222 
1526:	629 
1527:	136 243 
1528:	629 
1529:	182 243 
1530:	193 222 
1531:	651 
1532:	141 651 
1533:	215 471 
1534:	472 
1535:	210 646 
1536:	166 472 
1537:	472 
1538:	204 215 
1539:	210 651 
1540:	189 472 
1541:	166 651 
1542:	189 646 
1543:	204 651 
1544:	215 646 
1545:	471 472 
1546:	621 
1547:	156 621 
1548:	242 620 
1549:	623 
1550:	134 623 
1551:	226 622 
1552:	621 
1553:	242 623 
1554:	181 621 
1555:	180 226 
